employeeID,companyID,firstName,lastName,gender,yearsAtCompany
100,4267,Emma,SMITH,F,1
101,1708,Olivia,JOHNSON,F,5
102,3500,Noah,WILLIAMS,M,5
103,3203,Liam,BROWN,M,8
104,2379,Sophia,JONES,F,6
105,3135,Mason,MILLER,M,7
106,4904,Ava,DAVIS,F,0
107,2946,Jacob,GARCIA,M,0
108,5210,William,RODRIGUEZ,M,9
109,2915,Isabella,WILSON,F,6
110,1888,Ethan,MARTINEZ,M,20
111,4613,Mia,ANDERSON,F,15
112,4575,James,TAYLOR,M,36
113,3006,Alexander,THOMAS,M,10
114,3343,Michael,HERNANDEZ,M,5
115,5308,Benjamin,MOORE,M,5
116,4779,Elijah,MARTIN,M,3
117,4735,Daniel,JACKSON,M,5
118,2900,Aiden,THOMPSON,M,7
119,4157,Logan,WHITE,M,8
120,369,Matthew,LOPEZ,M,6
121,1519,Abigail,LEE,F,10
122,1523,Lucas,GONZALEZ,M,5
123,3123,Jackson,HARRIS,M,20
124,5466,Emily,CLARK,F,10
125,2977,David,LEWIS,M,10
126,1022,Oliver,ROBINSON,M,5
127,1201,Jayden,WALKER,M,17
128,2627,Joseph,PEREZ,M,1
129,1225,Charlotte,HALL,F,2
130,840,Gabriel,YOUNG,M,3
131,3557,Samuel,ALLEN,M,5
132,1389,Carter,SANCHEZ,M,3
133,2801,Anthony,WRIGHT,M,8
134,4631,John,KING,M,2
135,2479,Harper,SCOTT,F,8
136,5178,Dylan,GREEN,M,4
137,2823,Luke,BAKER,M,20
138,104,Henry,ADAMS,M,0
139,3521,Madison,NELSON,F,11
140,2687,Andrew,HILL,M,1
141,4078,Isaac,RAMIREZ,M,4
142,2866,Amelia,CAMPBELL,F,22
143,919,Christopher,MITCHELL,M,0
144,2642,Joshua,ROBERTS,M,8
145,2047,Elizabeth,CARTER,F,8
146,685,Sofia,PHILLIPS,F,18
147,3420,Wyatt,EVANS,M,9
148,2182,Sebastian,TURNER,M,13
149,2133,Owen,TORRES,M,10
150,4345,Evelyn,PARKER,F,5
151,3514,Avery,COLLINS,F,5
152,2082,Caleb,EDWARDS,M,2
153,3608,Nathan,STEWART,M,24
154,746,Ryan,FLORES,M,2
155,5299,Jack,MORRIS,M,10
156,2384,Hunter,NGUYEN,M,21
157,1355,Levi,MURPHY,M,8
158,755,Christian,RIVERA,M,7
159,2874,Jaxon,COOK,M,8
160,4764,Julian,ROGERS,M,4
161,2194,Landon,MORGAN,M,13
162,98,Chloe,PETERSON,F,5
163,5558,Ella,COOPER,F,7
164,4555,Grayson,REED,M,7
165,4114,Grace,BAILEY,F,3
166,1384,Jonathan,BELL,M,10
167,1178,Victoria,GOMEZ,F,10
168,3218,Isaiah,KELLY,M,21
169,4213,Aubrey,HOWARD,F,1
170,4493,Charles,WARD,M,7
171,1146,Thomas,COX,M,3
172,3759,Aaron,DIAZ,M,9
173,308,Scarlett,RICHARDSON,F,5
174,3063,Eli,WOOD,M,4
175,2046,Zoey,WATSON,F,1
176,3516,Connor,BROOKS,M,10
177,1263,Jeremiah,BENNETT,M,4
178,5489,Cameron,GRAY,M,7
179,2132,Addison,JAMES,F,3
